Order_ID,Order_Date,City,Category,Price,Quantity,Discount,Payment_Method,Delivery_Time_Min,Delivery_Partner_Rating,Customer_Rating,Order_Status,Received Amount
1029,2024-04-09,Mumbai,Bakery,74,1,5,Card,18,3.89,2.61,Cancelled,69
1030,2024-03-10,Bhopal,Snacks,182,2,6,Card,24,4.28,2.68,Delivered,176
1031,2024-08-14,Mumbai,Snacks,83,2,12,Cash,21,4.56,2.79,Cancelled,71
1032,2024-10-10,Indore,Beverages,187,4,20,Card,15,4.13,2.82,Returned,167
1033,2024-08-24,Mumbai,Vegetables,21,2,4,UPI,22,3.88,3.4,Cancelled,17
1034,2024-02-10,Indore,Vegetables,97,4,10,Card,30,3.26,2.57,Cancelled,87
1035,2024-04-12,Indore,Bakery,20,3,13,UPI,14,3.51,4.81,Delivered,7
1036,2024-04-17,Pune,Beverages,195,4,10,Card,22,5,3.96,Returned,185
1037,2024-02-14,Delhi,Bakery,66,4,18,UPI,17,4.94,3.48,Cancelled,48
1038,2024-05-01,Indore,Beverages,143,1,7,UPI,10,3.69,4.05,Delivered,136
1039,2024-03-28,Jaipur,Snacks,68,1,4,Cash,23,3.49,3.55,Cancelled,64
1040,2024-05-20,Mumbai,Bakery,163,1,20,UPI,13,3.9,2.87,Delivered,143
1041,2024-07-10,Indore,Vegetables,136,3,8,Cash,26,3.32,3.54,Cancelled,128
1042,2024-12-10,Bhopal,Vegetables,39,2,14,Wallet,22,4.8,2.95,Returned,25
1043,2024-08-12,Delhi,Snacks,177,2,10,Card,30,4.78,4.98,Cancelled,167
1044,2024-09-08,Bhopal,Beverages,184,3,11,Card,9,4.07,4.79,Delivered,173
1045,2024-01-12,Mumbai,Snacks,37,3,11,Card,12,3.61,4.99,Cancelled,26
1046,2024-11-05,Indore,Bakery,180,4,0,UPI,19,3.96,2.77,Returned,180
1047,2024-12-10,Jaipur,Bakery,199,5,10,UPI,16,3.48,4.19,Delivered,189
1048,2024-01-20,Bhopal,Beverages,39,3,10,Cash,21,4.93,4.27,Delivered,29
1049,2024-08-03,Mumbai,Snacks,24,4,0,Wallet,15,3.83,4.4,Returned,24
1050,2024-11-17,Indore,Snacks,70,1,7,Card,20,3.54,4.45,Cancelled,63
1051,2024-10-02,Pune,Dairy,136,1,8,UPI,28,3.52,4.66,Returned,128
1052,2024-11-14,Bhopal,Vegetables,200,2,12,Card,10,4.9,4.36,Returned,188
1053,2024-07-25,Mumbai,Snacks,74,4,9,Cash,18,3.72,4.84,Returned,65
1054,2024-10-21,Indore,Snacks,139,1,2,UPI,28,3.27,4.43,Returned,137
1055,2024-04-20,Jaipur,Beverages,192,4,9,Card,15,3.52,2.78,Delivered,183
1056,2024-09-20,Pune,Vegetables,130,2,1,Card,22,3.3,3.17,Cancelled,129
1057,2024-08-17,Jaipur,Bakery,75,4,12,Wallet,24,3.87,3.37,Cancelled,63
1058,2024-04-05,Bhopal,Fruits,83,4,6,Wallet,11,3.6,4.62,Cancelled,77
1059,2024-03-15,Mumbai,Snacks,183,2,8,Cash,23,4.98,3.2,Returned,175
1060,2024-04-21,Pune,Vegetables,77,4,20,UPI,22,4.69,4.55,Delivered,57
1061,2024-07-07,Bhopal,Snacks,125,2,9,UPI,27,4.49,3.61,Returned,116
1062,2024-08-26,Mumbai,Bakery,20,2,11,Cash,8,4.88,4.31,Cancelled,9
1063,2024-11-19,Delhi,Dairy,168,4,19,Card,15,3.44,2.88,Delivered,149
1064,2024-09-16,Delhi,Vegetables,43,2,11,Wallet,27,4.4,2.5,Returned,32
1065,2024-06-05,Delhi,Beverages,161,3,15,UPI,28,4.69,3.99,Cancelled,146
1066,2024-01-22,Mumbai,Fruits,188,5,15,Cash,30,3.32,3.88,Cancelled,173
1067,2024-01-03,Delhi,Beverages,42,4,17,Card,22,4.19,4.48,Cancelled,25
1068,2024-08-26,Indore,Fruits,107,5,17,Cash,18,4.5,2.74,Cancelled,90
1069,2024-04-22,Bhopal,Bakery,111,4,11,UPI,19,4.16,4.94,Delivered,100
1070,2024-11-04,Indore,Bakery,153,1,2,Card,27,4.06,3.96,Cancelled,151
1071,2024-07-06,Jaipur,Beverages,138,2,16,Wallet,13,4.24,2.72,Cancelled,122
1072,2024-02-19,Pune,Beverages,39,2,20,UPI,22,3.73,3.39,Delivered,19
1073,2024-02-29,Indore,Fruits,175,1,15,Wallet,18,4.33,3.85,Cancelled,160
1074,2024-05-05,Pune,Dairy,187,4,12,Card,26,3.72,3.86,Returned,175
1075,2024-08-29,Bhopal,Beverages,64,3,18,UPI,19,3.9,3.55,Returned,46
1076,2024-01-19,Pune,Snacks,45,5,4,Wallet,8,3.34,3.3,Cancelled,41
1077,2024-01-14,Bhopal,Bakery,121,5,11,Card,25,3.27,4.39,Cancelled,110
1078,2024-08-31,Bhopal,Vegetables,192,1,0,Card,11,3.03,3.78,Returned,192
1079,2024-11-16,Indore,Bakery,111,4,15,Wallet,20,3.05,4.74,Returned,96
1080,2024-11-30,Mumbai,Snacks,51,1,7,UPI,29,3.66,2.59,Delivered,44
1081,2024-07-06,Jaipur,Beverages,135,3,17,UPI,8,3.57,2.73,Delivered,118
1082,2024-09-18,Delhi,Dairy,30,3,7,Cash,29,3.44,2.92,Cancelled,23
1083,2024-09-14,Jaipur,Snacks,50,4,7,Wallet,25,4.4,3.27,Cancelled,43
1084,2024-05-17,Mumbai,Fruits,66,3,13,Cash,25,3.03,4.38,Delivered,53
1085,2024-02-22,Bhopal,Bakery,173,1,6,Cash,28,4.42,3.89,Cancelled,167
1086,2024-12-08,Jaipur,Snacks,101,3,17,UPI,25,3.21,4.59,Cancelled,84
1087,2024-08-24,Jaipur,Beverages,106,2,11,Wallet,13,3.49,3.88,Delivered,95
1088,2024-09-13,Jaipur,Snacks,171,1,1,Cash,24,3.5,4.28,Delivered,170
1089,2024-10-02,Mumbai,Fruits,47,2,1,UPI,10,3.95,3.23,Returned,46
1090,2024-10-03,Bhopal,Fruits,38,3,12,UPI,30,3.24,4.85,Cancelled,26
1091,2024-05-20,Pune,Vegetables,194,1,2,Cash,29,3.38,3.02,Returned,192
1092,2024-11-23,Indore,Bakery,99,2,5,Cash,8,3.43,3.79,Returned,94
1093,2024-12-29,Delhi,Beverages,112,4,6,UPI,25,4.76,3.77,Returned,106
1094,2024-08-21,Mumbai,Snacks,146,1,15,Wallet,12,4.99,4.41,Cancelled,131
1095,2024-01-18,Indore,Dairy,108,4,17,Card,28,4.22,3.08,Returned,91
1096,2024-02-19,Indore,Dairy,112,1,17,Cash,20,3.94,4.83,Delivered,95
1097,2024-07-20,Delhi,Dairy,38,3,4,Wallet,29,3.73,4.95,Cancelled,34
1098,2024-10-24,Pune,Dairy,178,3,13,Wallet,24,3.94,2.76,Returned,165
1099,2024-03-07,Delhi,Vegetables,88,2,4,Wallet,24,3.23,2.76,Delivered,84
1100,2024-05-11,Delhi,Beverages,162,4,7,Cash,20,3.03,3.47,Delivered,155
1101,2024-01-15,Jaipur,Dairy,55,4,0,Wallet,15,3.27,4.96,Delivered,55
1102,2024-04-13,Bhopal,Beverages,163,3,8,UPI,26,4.57,4.65,Returned,155
1103,2024-01-03,Bhopal,Bakery,174,4,2,Card,12,3.37,3.05,Returned,172
1104,2024-11-10,Pune,Vegetables,159,4,19,Cash,21,3.3,4.71,Cancelled,140
1105,2024-08-21,Jaipur,Dairy,165,5,15,Wallet,12,3.16,3.27,Returned,150
1106,2024-12-03,Mumbai,Snacks,151,4,9,UPI,18,4.83,3.84,Cancelled,142
1107,2024-12-18,Delhi,Snacks,188,4,1,Card,27,3.15,4.91,Returned,187
1108,2024-11-12,Jaipur,Beverages,197,3,18,Card,22,3.55,4.09,Returned,179
1109,2024-01-18,Bhopal,Dairy,53,3,18,Wallet,21,3.38,4.66,Cancelled,35
1110,2024-10-30,Bhopal,Snacks,90,5,17,Cash,24,3.2,3.25,Returned,73
1111,2024-04-22,Indore,Fruits,137,2,11,Card,14,4.84,2.86,Cancelled,126
1112,2024-12-21,Pune,Beverages,126,4,16,Cash,16,4.18,4.59,Returned,110
1113,2024-05-30,Mumbai,Bakery,83,5,2,UPI,26,3.72,3.67,Delivered,81
1114,2024-09-02,Bhopal,Beverages,23,4,9,Wallet,23,4.15,3.58,Delivered,14
1115,2024-07-15,Pune,Vegetables,91,3,8,Wallet,20,4.91,3.73,Returned,83
1116,2024-07-07,Bhopal,Beverages,73,4,17,Wallet,30,3.68,2.59,Returned,56
1117,2024-09-20,Jaipur,Bakery,181,4,9,UPI,13,3.76,4.65,Returned,172
1118,2024-04-17,Jaipur,Vegetables,155,2,4,Card,27,4.39,4.95,Cancelled,151
1119,2024-11-22,Indore,Fruits,106,2,12,Card,29,4.71,3.66,Cancelled,94
1120,2024-07-07,Pune,Fruits,125,5,2,UPI,11,3.27,3.23,Delivered,123
1121,2024-07-20,Bhopal,Beverages,153,5,10,UPI,25,3.14,4.84,Returned,143
1122,2024-03-02,Mumbai,Vegetables,20,5,11,Cash,16,4.4,2.63,Cancelled,9
1123,2024-08-28,Indore,Bakery,88,2,10,Cash,19,4.5,4.92,Cancelled,78
1124,2024-07-01,Pune,Beverages,176,2,11,Cash,12,3.58,4.42,Returned,165
1125,2024-09-23,Bhopal,Bakery,191,5,17,Wallet,19,4.35,3.44,Returned,174
1126,2024-03-29,Delhi,Dairy,86,2,14,Card,10,4.8,2.76,Cancelled,72
1127,2024-07-21,Jaipur,Snacks,122,1,1,Wallet,13,4.98,4.23,Returned,121
1128,2024-06-07,Bhopal,Dairy,186,1,11,Wallet,13,4.29,3.47,Cancelled,175
1129,2024-03-06,Mumbai,Vegetables,43,4,8,Cash,13,3.27,3.88,Delivered,35
1130,2024-02-09,Jaipur,Vegetables,169,4,8,Wallet,14,3.46,4.18,Cancelled,161
1131,2024-01-29,Delhi,Snacks,30,1,13,Card,16,3.14,4.28,Delivered,17
1132,2024-09-16,Indore,Vegetables,105,3,2,Cash,16,3.09,4.68,Returned,103
1133,2024-07-20,Bhopal,Fruits,120,3,16,Cash,17,4.85,3.87,Delivered,104
1134,2024-02-12,Jaipur,Dairy,165,2,12,Cash,18,4.42,2.93,Returned,153
1135,2024-05-27,Pune,Beverages,164,4,20,Wallet,26,4.32,3.89,Returned,144
1136,2024-12-29,Pune,Fruits,80,1,17,Card,20,3.45,2.55,Cancelled,63
1137,2024-01-05,Indore,Vegetables,197,2,12,Cash,19,3.46,4.98,Returned,185
1138,2024-10-10,Pune,Vegetables,25,3,20,Cash,28,4.12,2.78,Returned,5
1139,2024-05-15,Indore,Dairy,52,5,8,Card,12,4.47,2.98,Cancelled,44
1140,2024-10-21,Delhi,Dairy,28,4,3,Cash,20,3.38,3.71,Returned,25
1141,2024-01-31,Indore,Beverages,58,4,18,Card,14,4.87,3.05,Cancelled,40
1142,2024-03-18,Mumbai,Bakery,69,2,11,Card,9,4.49,4.56,Delivered,58
1143,2024-07-14,Mumbai,Beverages,119,2,10,Cash,29,3.41,2.92,Returned,109
1144,2024-08-11,Pune,Vegetables,179,3,0,Wallet,10,4.16,4.46,Delivered,179
1145,2024-12-18,Delhi,Snacks,96,4,1,Cash,17,4.34,3.5,Delivered,95
1146,2024-06-26,Indore,Bakery,80,1,20,UPI,25,4.33,3.6,Cancelled,60
1147,2024-05-04,Bhopal,Vegetables,163,3,19,UPI,9,4.61,3.2,Returned,144
1148,2024-02-29,Pune,Dairy,158,1,4,Wallet,13,3.07,4.99,Cancelled,154
1149,2024-10-13,Jaipur,Dairy,139,4,14,UPI,25,3.23,4.68,Delivered,125
1150,2024-08-08,Jaipur,Beverages,148,1,15,UPI,17,4.82,4.61,Cancelled,133
1151,2024-10-19,Mumbai,Dairy,172,1,15,UPI,29,4.07,4.96,Delivered,157
1152,2024-10-20,Indore,Snacks,168,4,14,Card,24,3.62,4.33,Delivered,154
1153,2024-06-18,Jaipur,Beverages,171,3,0,Wallet,18,4.5,3,Delivered,171
1154,2024-01-16,Pune,Snacks,51,1,12,Cash,30,3.98,2.51,Cancelled,39
1155,2024-09-04,Indore,Dairy,136,5,1,Card,9,3.75,3.45,Delivered,135
1156,2024-08-29,Indore,Beverages,121,5,1,UPI,24,3.62,3.11,Returned,120
1157,2024-12-16,Pune,Dairy,125,3,9,Card,20,3.26,3.79,Cancelled,116
1158,2024-10-24,Delhi,Beverages,25,4,5,Wallet,29,4.38,4.3,Returned,20
1159,2024-04-10,Bhopal,Fruits,73,3,20,Card,11,4.99,4.25,Delivered,53
1160,2024-11-07,Jaipur,Snacks,136,4,1,Card,24,4.22,4.23,Delivered,135
1161,2024-06-13,Indore,Vegetables,28,2,14,Cash,14,4.64,4.94,Delivered,14
1162,2024-08-18,Bhopal,Bakery,91,3,1,Cash,22,4.39,3.51,Cancelled,90
1163,2024-07-27,Pune,Fruits,185,2,12,UPI,11,3.46,4.97,Cancelled,173
1164,2024-05-19,Delhi,Beverages,47,2,2,Cash,20,4.76,3.66,Returned,45
1165,2024-02-08,Delhi,Dairy,130,5,0,UPI,16,4.63,3.93,Delivered,130
1166,2024-09-14,Bhopal,Bakery,173,5,3,Cash,22,3.04,2.97,Returned,170
1167,2024-05-06,Pune,Bakery,158,1,5,UPI,10,4.69,4.04,Cancelled,153
1168,2024-07-14,Pune,Vegetables,110,1,12,Wallet,10,3.53,3.94,Delivered,98
1169,2024-07-21,Mumbai,Snacks,35,5,7,Wallet,8,3.56,3.61,Delivered,28
1170,2024-08-30,Mumbai,Dairy,27,5,5,UPI,8,4.51,4.2,Cancelled,22
1171,2024-02-09,Delhi,Snacks,158,1,12,Card,28,4.63,2.71,Delivered,146
1172,2024-12-04,Bhopal,Dairy,56,5,16,UPI,10,3.47,3.54,Delivered,40
1173,2024-02-21,Delhi,Bakery,103,5,14,Card,26,4.03,3.74,Delivered,89
1174,2024-10-16,Delhi,Fruits,49,3,14,Card,13,4.58,3.66,Returned,35
1175,2024-08-01,Jaipur,Vegetables,120,3,8,Card,14,3.94,4.84,Cancelled,112
1176,2024-04-03,Delhi,Fruits,47,4,0,Wallet,24,4.3,3.4,Cancelled,47
1177,2024-01-02,Indore,Snacks,69,1,16,Cash,23,4.5,3.35,Returned,53
1178,2024-12-26,Pune,Bakery,108,4,5,Card,9,3.51,4.6,Cancelled,103
1179,2024-09-14,Jaipur,Beverages,194,3,9,Card,12,4.15,3.4,Returned,185
1180,2024-12-30,Jaipur,Beverages,183,5,0,Wallet,19,3.55,4.61,Returned,183
1181,2024-12-16,Mumbai,Bakery,46,3,3,Cash,28,4.96,3.95,Returned,43
1182,2024-11-17,Bhopal,Dairy,154,5,5,Wallet,12,3.5,3.61,Returned,149
1183,2024-01-18,Indore,Fruits,44,2,2,Card,8,3.73,3.9,Delivered,42
1184,2024-04-09,Jaipur,Beverages,78,5,4,Wallet,12,4.68,4.44,Returned,74
1185,2024-03-11,Delhi,Bakery,200,4,14,Cash,16,4.24,4.16,Delivered,186
1186,2024-03-01,Mumbai,Bakery,159,3,17,Card,17,3.48,3.23,Delivered,142
1187,2024-09-17,Bhopal,Fruits,84,1,0,Card,10,3.41,3.23,Returned,84
1188,2024-05-24,Bhopal,Fruits,129,5,9,Card,12,4.24,3.17,Returned,120
1189,2024-07-17,Mumbai,Snacks,38,3,10,Cash,16,4.39,3.75,Cancelled,28
1190,2024-08-04,Jaipur,Vegetables,130,1,0,Wallet,15,4.22,3.8,Delivered,130
1191,2024-07-14,Mumbai,Snacks,141,5,19,Wallet,25,4.47,4.71,Returned,122
1192,2024-03-05,Jaipur,Fruits,153,3,13,Wallet,28,3.46,4.47,Delivered,140
1193,2024-05-28,Bhopal,Bakery,124,3,15,Wallet,20,3.6,3.15,Cancelled,109
1194,2024-11-28,Jaipur,Bakery,95,1,3,Cash,11,4.79,4.12,Returned,92
1195,2024-10-13,Pune,Beverages,118,4,11,UPI,20,3.62,4.02,Delivered,107
1196,2024-02-26,Pune,Fruits,139,5,9,Cash,29,3.98,2.89,Delivered,130
1197,2024-09-04,Indore,Snacks,69,2,4,UPI,24,4.75,3.3,Returned,65
1198,2024-12-29,Indore,Fruits,22,3,6,Wallet,22,4.03,3.86,Cancelled,16
1199,2024-03-26,Jaipur,Snacks,177,3,17,UPI,19,4.66,4.83,Returned,160
1200,2024-09-18,Bhopal,Fruits,129,5,8,Card,20,4.79,4.3,Delivered,121

